Community,Year,Total,asian,Black,hispanic,white,other 
37,2013,2377,  -,2170,124,83,  -
38,2013,22634,89,21054,373,570,548
39,2013,17074,1440,11690,503,2925,516
40,2013,11868,14,11199,216,48,391
41,2013,26573,3249,7621,2101,12539,1063
42,2013,26024,797,21891,775,2062,499
43,2013,48552,124,45464,845,1326,793
44,2013,30946,93,29792,311,459,291
45,2013,9840,19,9617,68,37,99
46,2013,27601,16,20826,5810,672,277
47,2013,2442,  -,2419,  -,11,12
48,2013,13306,12,12566,465,161,102
49,2013,42327,169,40798,396,417,547
50,2013,6620,43,5474,335,633,135
51,2013,14635,1,9575,4139,781,139
52,2013,23013,66,562,18409,3938,38
53,2013,27572,70,25520,1488,281,213
54,2013,7382,26,6926,265,135,30
55,2013,9151,  -,447,4582,4105,17
56,2013,35542,311,1431,17270,16214,316
57,2013,13259,441,79,10197,2482,60
58,2013,44231,3253,453,37468,2798,259
59,2013,16064,2918,145,10095,2660,246
60,2013,32853,12214,863,8175,10982,619
61,2013,41178,993,9495,25278,5010,402
62,2013,19932,308,213,16566,2840,5
63,2013,40926,191,1352,37904,1432,47
64,2013,25200,361,340,12527,11672,300
65,2013,33595,193,1154,27169,5008,71
66,2013,54265,304,25023,26109,1973,856
67,2013,30798,6,28249,1890,244,409
68,2013,26020,62,24690,756,204,308
69,2013,32461,5,31301,387,431,337
70,2013,43283,314,20721,16374,5044,830
71,2013,45770,153,44267,614,257,479
72,2013,20836,89,7047,1200,12043,457
73,2013,27055,8,25981,324,170,572
74,2013,19029,368,589,2090,15730,252
75,2013,23019,45,15252,805,6313,604
76,2013,12902,1407,231,1127,9475,662
77,2013,55430,6430,7592,9081,30615,1712
1,2014,55500,3205,14455,12383,23604,1853
2,2014,73723,16641,8936,13366,31806,2974
3,2014,56296,5773,10970,7468,30456,1629
4,2014,41483,4608,1394,7284,26554,1643
5,2014,34942,1563,713,4378,26996,1292
6,2014,99876,6735,3320,8099,78859,2863
7,2014,67260,4243,3134,4675,53151,2057
8,2014,86343,9906,7376,4627,62243,2191
9,2014,11150,241,148,752,9893,116
10,2014,36002,1170,169,4202,29644,817
11,2014,26755,2597,274,6125,17155,604
12,2014,18631,1971,169,2439,13655,397
13,2014,18743,5121,448,3092,9642,440
14,2014,51575,7883,2337,24892,14932,1531
15,2014,64523,2946,863,27576,31778,1360
16,2014,55417,4579,1543,24733,22975,1587
17,2014,43444,1755,895,12559,27862,373
18,2014,12992,519,582,7585,4032,274
19,2014,78155,1336,2196,62968,10879,776
20,2014,24450,384,502,21321,1900,343
21,2014,38191,1340,800,23368,11898,785
22,2014,74606,2234,3556,33868,33354,1594
23,2014,56248,305,20912,30847,3258,926
24,2014,84458,3373,6551,22477,49729,2328
25,2014,97611,475,79668,12270,4407,791
26,2014,17490,33,16705,362,277,113
27,2014,20234,80,18155,712,1079,208
28,2014,62560,10267,18559,6105,26071,1558
29,2014,35423,83,31112,2897,796,535
30,2014,73983,201,8831,62126,2545,280
31,2014,32998,718,1258,25699,4955,368
32,2014,35010,6162,4003,2115,21691,1039
33,2014,23190,5375,5488,1243,10433,651
34,2014,13635,10278,1248,408,1572,129
35,2014,20559,2639,14460,649,2356,455
36,2014,6474,124,5949,240,125,36
37,2014,2377,  -,2170,124,83,  -
38,2014,22634,89,21054,373,570,548
39,2014,17074,1440,11690,503,2925,516
40,2014,11868,14,11199,216,48,391
41,2014,26573,3249,7621,2101,12539,1063
42,2014,26024,797,21891,775,2062,499
43,2014,48552,124,45464,845,1326,793
44,2014,30946,93,29792,311,459,291
45,2014,9840,19,9617,68,37,99
46,2014,27601,16,20826,5810,672,277
47,2014,2442,  -,2419,  -,11,12
48,2014,13306,12,12566,465,161,102
49,2014,42327,169,40798,396,417,547
50,2014,6620,43,5474,335,633,135
51,2014,14635,1,9575,4139,781,139
52,2014,23013,66,562,18409,3938,38
53,2014,27572,70,25520,1488,281,213
54,2014,7382,26,6926,265,135,30
55,2014,9151,  -,447,4582,4105,17
56,2014,35542,311,1431,17270,16214,316
57,2014,13259,441,79,10197,2482,60
58,2014,44231,3253,453,37468,2798,259
59,2014,16064,2918,145,10095,2660,246
60,2014,32853,12214,863,8175,10982,619
61,2014,41178,993,9495,25278,5010,402
62,2014,19932,308,213,16566,2840,5
63,2014,40926,191,1352,37904,1432,47
64,2014,25200,361,340,12527,11672,300
65,2014,33595,193,1154,27169,5008,71
66,2014,54265,304,25023,26109,1973,856
67,2014,30798,6,28249,1890,244,409
68,2014,26020,62,24690,756,204,308
69,2014,32461,5,31301,387,431,337
70,2014,43283,314,20721,16374,5044,830
71,2014,45770,153,44267,614,257,479
72,2014,20836,89,7047,1200,12043,457
73,2014,27055,8,25981,324,170,572
74,2014,19029,368,589,2090,15730,252
75,2014,23019,45,15252,805,6313,604
76,2014,12902,1407,231,1127,9475,662
77,2014,55430,6430,7592,9081,30615,1712
1,2015,55500,3205,14455,12383,23604,1853
2,2015,73723,16641,8936,13366,31806,2974
3,2015,56296,5773,10970,7468,30456,1629
4,2015,41483,4608,1394,7284,26554,1643
5,2015,34942,1563,713,4378,26996,1292
6,2015,99876,6735,3320,8099,78859,2863
7,2015,67260,4243,3134,4675,53151,2057
8,2015,86343,9906,7376,4627,62243,2191
9,2015,11150,241,148,752,9893,116
10,2015,36002,1170,169,4202,29644,817
11,2015,26755,2597,274,6125,17155,604
12,2015,18631,1971,169,2439,13655,397
13,2015,18743,5121,448,3092,9642,440
14,2015,51575,7883,2337,24892,14932,1531
15,2015,64523,2946,863,27576,31778,1360
16,2015,55417,4579,1543,24733,22975,1587
17,2015,43444,1755,895,12559,27862,373
18,2015,12992,519,582,7585,4032,274
19,2015,78155,1336,2196,62968,10879,776
20,2015,24450,384,502,21321,1900,343
21,2015,38191,1340,800,23368,11898,785
22,2015,74606,2234,3556,33868,33354,1594
23,2015,56248,305,20912,30847,3258,926
24,2015,84458,3373,6551,22477,49729,2328
25,2015,97611,475,79668,12270,4407,791
26,2015,17490,33,16705,362,277,113
27,2015,20234,80,18155,712,1079,208
28,2015,62560,10267,18559,6105,26071,1558
29,2015,35423,83,31112,2897,796,535
30,2015,73983,201,8831,62126,2545,280
31,2015,32998,718,1258,25699,4955,368
32,2015,35010,6162,4003,2115,21691,1039
33,2015,23190,5375,5488,1243,10433,651
34,2015,13635,10278,1248,408,1572,129
35,2015,20559,2639,14460,649,2356,455
36,2015,6474,124,5949,240,125,36
37,2015,2377,  -,2170,124,83,  -
38,2015,22634,89,21054,373,570,548
39,2015,17074,1440,11690,503,2925,516
40,2015,11868,14,11199,216,48,391
41,2015,26573,3249,7621,2101,12539,1063
42,2015,26024,797,21891,775,2062,499
43,2015,48552,124,45464,845,1326,793
44,2015,30946,93,29792,311,459,291
45,2015,9840,19,9617,68,37,99
46,2015,27601,16,20826,5810,672,277
47,2015,2442,  -,2419,  -,11,12
48,2015,13306,12,12566,465,161,102
49,2015,42327,169,40798,396,417,547
50,2015,6620,43,5474,335,633,135
51,2015,14635,1,9575,4139,781,139
52,2015,23013,66,562,18409,3938,38
53,2015,27572,70,25520,1488,281,213
54,2015,7382,26,6926,265,135,30
55,2015,9151,  -,447,4582,4105,17
56,2015,35542,311,1431,17270,16214,316
57,2015,13259,441,79,10197,2482,60
58,2015,44231,3253,453,37468,2798,259
59,2015,16064,2918,145,10095,2660,246
60,2015,32853,12214,863,8175,10982,619
61,2015,41178,993,9495,25278,5010,402
62,2015,19932,308,213,16566,2840,5
63,2015,40926,191,1352,37904,1432,47
64,2015,25200,361,340,12527,11672,300
65,2015,33595,193,1154,27169,5008,71
66,2015,54265,304,25023,26109,1973,856
67,2015,30798,6,28249,1890,244,409
68,2015,26020,62,24690,756,204,308
69,2015,32461,5,31301,387,431,337
70,2015,43283,314,20721,16374,5044,830
71,2015,45770,153,44267,614,257,479
72,2015,20836,89,7047,1200,12043,457
73,2015,27055,8,25981,324,170,572
74,2015,19029,368,589,2090,15730,252
75,2015,23019,45,15252,805,6313,604
76,2015,12902,1407,231,1127,9475,662
77,2015,55430,6430,7592,9081,30615,1712
1,2016,55500,3205,14455,12383,23604,1853
2,2016,73723,16641,8936,13366,31806,2974
3,2016,56296,5773,10970,7468,30456,1629
4,2016,41483,4608,1394,7284,26554,1643
5,2016,34942,1563,713,4378,26996,1292
6,2016,99876,6735,3320,8099,78859,2863
7,2016,67260,4243,3134,4675,53151,2057
8,2016,86343,9906,7376,4627,62243,2191
9,2016,11150,241,148,752,9893,116
10,2016,36002,1170,169,4202,29644,817
11,2016,26755,2597,274,6125,17155,604
12,2016,18631,1971,169,2439,13655,397
13,2016,18743,5121,448,3092,9642,440
14,2016,51575,7883,2337,24892,14932,1531
15,2016,64523,2946,863,27576,31778,1360
16,2016,55417,4579,1543,24733,22975,1587
17,2016,43444,1755,895,12559,27862,373
18,2016,12992,519,582,7585,4032,274
19,2016,78155,1336,2196,62968,10879,776
20,2016,24450,384,502,21321,1900,343
21,2016,38191,1340,800,23368,11898,785
22,2016,74606,2234,3556,33868,33354,1594
23,2016,56248,305,20912,30847,3258,926
24,2016,84458,3373,6551,22477,49729,2328
25,2016,97611,475,79668,12270,4407,791
26,2016,17490,33,16705,362,277,113
27,2016,20234,80,18155,712,1079,208
28,2016,62560,10267,18559,6105,26071,1558
29,2016,35423,83,31112,2897,796,535
30,2016,73983,201,8831,62126,2545,280
31,2016,32998,718,1258,25699,4955,368
32,2016,35010,6162,4003,2115,21691,1039
33,2016,23190,5375,5488,1243,10433,651
34,2016,13635,10278,1248,408,1572,129
35,2016,20559,2639,14460,649,2356,455
36,2016,6474,124,5949,240,125,36
37,2016,2377,  -,2170,124,83,  -
38,2016,22634,89,21054,373,570,548
39,2016,17074,1440,11690,503,2925,516
40,2016,11868,14,11199,216,48,391
41,2016,26573,3249,7621,2101,12539,1063
42,2016,26024,797,21891,775,2062,499
43,2016,48552,124,45464,845,1326,793
44,2016,30946,93,29792,311,459,291
45,2016,9840,19,9617,68,37,99
46,2016,27601,16,20826,5810,672,277
47,2016,2442,  -,2419,  -,11,12
48,2016,13306,12,12566,465,161,102
49,2016,42327,169,40798,396,417,547
50,2016,6620,43,5474,335,633,135
51,2016,14635,1,9575,4139,781,139
52,2016,23013,66,562,18409,3938,38
53,2016,27572,70,25520,1488,281,213
54,2016,7382,26,6926,265,135,30
55,2016,9151,  -,447,4582,4105,17
56,2016,35542,311,1431,17270,16214,316
57,2016,13259,441,79,10197,2482,60
58,2016,44231,3253,453,37468,2798,259
59,2016,16064,2918,145,10095,2660,246
60,2016,32853,12214,863,8175,10982,619
61,2016,41178,993,9495,25278,5010,402
62,2016,19932,308,213,16566,2840,5
63,2016,40926,191,1352,37904,1432,47
64,2016,25200,361,340,12527,11672,300
65,2016,33595,193,1154,27169,5008,71
66,2016,54265,304,25023,26109,1973,856
67,2016,30798,6,28249,1890,244,409
68,2016,26020,62,24690,756,204,308
69,2016,32461,5,31301,387,431,337
70,2016,43283,314,20721,16374,5044,830
71,2016,45770,153,44267,614,257,479
72,2016,20836,89,7047,1200,12043,457
73,2016,27055,8,25981,324,170,572
74,2016,19029,368,589,2090,15730,252
75,2016,23019,45,15252,805,6313,604
76,2016,12902,1407,231,1127,9475,662
77,2016,55430,6430,7592,9081,30615,1712
1,2017,55500,3205,14455,12383,23604,1853
2,2017,73723,16641,8936,13366,31806,2974
3,2017,56296,5773,10970,7468,30456,1629
4,2017,41483,4608,1394,7284,26554,1643
5,2017,34942,1563,713,4378,26996,1292
6,2017,99876,6735,3320,8099,78859,2863
7,2017,67260,4243,3134,4675,53151,2057
8,2017,86343,9906,7376,4627,62243,2191
9,2017,11150,241,148,752,9893,116
10,2017,36002,1170,169,4202,29644,817
11,2017,26755,2597,274,6125,17155,604
12,2017,18631,1971,169,2439,13655,397
13,2017,18743,5121,448,3092,9642,440
14,2017,51575,7883,2337,24892,14932,1531
15,2017,64523,2946,863,27576,31778,1360
16,2017,55417,4579,1543,24733,22975,1587
17,2017,43444,1755,895,12559,27862,373
18,2017,12992,519,582,7585,4032,274
19,2017,78155,1336,2196,62968,10879,776
20,2017,24450,384,502,21321,1900,343
21,2017,38191,1340,800,23368,11898,785
22,2017,74606,2234,3556,33868,33354,1594
23,2017,56248,305,20912,30847,3258,926
24,2017,84458,3373,6551,22477,49729,2328
25,2017,97611,475,79668,12270,4407,791
26,2017,17490,33,16705,362,277,113
27,2017,20234,80,18155,712,1079,208
28,2017,62560,10267,18559,6105,26071,1558
29,2017,35423,83,31112,2897,796,535
30,2017,73983,201,8831,62126,2545,280
31,2017,32998,718,1258,25699,4955,368
32,2017,35010,6162,4003,2115,21691,1039
33,2017,23190,5375,5488,1243,10433,651
34,2017,13635,10278,1248,408,1572,129
35,2017,20559,2639,14460,649,2356,455
36,2017,6474,124,5949,240,125,36
37,2017,2377,  -,2170,124,83,  -
38,2017,22634,89,21054,373,570,548
39,2017,17074,1440,11690,503,2925,516
40,2017,11868,14,11199,216,48,391
41,2017,26573,3249,7621,2101,12539,1063
42,2017,26024,797,21891,775,2062,499
43,2017,48552,124,45464,845,1326,793
44,2017,30946,93,29792,311,459,291
45,2017,9840,19,9617,68,37,99
46,2017,27601,16,20826,5810,672,277
47,2017,2442,  -,2419,  -,11,12
48,2017,13306,12,12566,465,161,102
49,2017,42327,169,40798,396,417,547
50,2017,6620,43,5474,335,633,135
51,2017,14635,1,9575,4139,781,139
52,2017,23013,66,562,18409,3938,38
53,2017,27572,70,25520,1488,281,213
54,2017,7382,26,6926,265,135,30
55,2017,9151,  -,447,4582,4105,17
56,2017,35542,311,1431,17270,16214,316
57,2017,13259,441,79,10197,2482,60
58,2017,44231,3253,453,37468,2798,259
59,2017,16064,2918,145,10095,2660,246
60,2017,32853,12214,863,8175,10982,619
61,2017,41178,993,9495,25278,5010,402
62,2017,19932,308,213,16566,2840,5
63,2017,40926,191,1352,37904,1432,47
64,2017,25200,361,340,12527,11672,300
65,2017,33595,193,1154,27169,5008,71
66,2017,54265,304,25023,26109,1973,856
67,2017,30798,6,28249,1890,244,409
68,2017,26020,62,24690,756,204,308
69,2017,32461,5,31301,387,431,337
70,2017,43283,314,20721,16374,5044,830
71,2017,45770,153,44267,614,257,479
72,2017,20836,89,7047,1200,12043,457
73,2017,27055,8,25981,324,170,572
74,2017,19029,368,589,2090,15730,252
75,2017,23019,45,15252,805,6313,604
76,2017,12902,1407,231,1127,9475,662
77,2017,55430,6430,7592,9081,30615,1712
1,2018,55500,3205,14455,12383,23604,1853
2,2018,73723,16641,8936,13366,31806,2974
3,2018,56296,5773,10970,7468,30456,1629
4,2018,41483,4608,1394,7284,26554,1643
5,2018,34942,1563,713,4378,26996,1292
6,2018,99876,6735,3320,8099,78859,2863
7,2018,67260,4243,3134,4675,53151,2057
8,2018,86343,9906,7376,4627,62243,2191
9,2018,11150,241,148,752,9893,116
10,2018,36002,1170,169,4202,29644,817
11,2018,26755,2597,274,6125,17155,604
12,2018,18631,1971,169,2439,13655,397
13,2018,18743,5121,448,3092,9642,440
14,2018,51575,7883,2337,24892,14932,1531
15,2018,64523,2946,863,27576,31778,1360
16,2018,55417,4579,1543,24733,22975,1587
17,2018,43444,1755,895,12559,27862,373
18,2018,12992,519,582,7585,4032,274
19,2018,78155,1336,2196,62968,10879,776
20,2018,24450,384,502,21321,1900,343
21,2018,38191,1340,800,23368,11898,785
22,2018,74606,2234,3556,33868,33354,1594
23,2018,56248,305,20912,30847,3258,926
24,2018,84458,3373,6551,22477,49729,2328
25,2018,97611,475,79668,12270,4407,791
26,2018,17490,33,16705,362,277,113
27,2018,20234,80,18155,712,1079,208
28,2018,62560,10267,18559,6105,26071,1558
29,2018,35423,83,31112,2897,796,535
30,2018,73983,201,8831,62126,2545,280
31,2018,32998,718,1258,25699,4955,368
32,2018,35010,6162,4003,2115,21691,1039
33,2018,23190,5375,5488,1243,10433,651
34,2018,13635,10278,1248,408,1572,129
35,2018,20559,2639,14460,649,2356,455
36,2018,6474,124,5949,240,125,36
37,2018,2377,  -,2170,124,83,  -
38,2018,22634,89,21054,373,570,548
39,2018,17074,1440,11690,503,2925,516
40,2018,11868,14,11199,216,48,391
41,2018,26573,3249,7621,2101,12539,1063
42,2018,26024,797,21891,775,2062,499
43,2018,48552,124,45464,845,1326,793
44,2018,30946,93,29792,311,459,291
45,2018,9840,19,9617,68,37,99
46,2018,27601,16,20826,5810,672,277
47,2018,2442,  -,2419,  -,11,12
48,2018,13306,12,12566,465,161,102
49,2018,42327,169,40798,396,417,547
50,2018,6620,43,5474,335,633,135
51,2018,14635,1,9575,4139,781,139
52,2018,23013,66,562,18409,3938,38
53,2018,27572,70,25520,1488,281,213
54,2018,7382,26,6926,265,135,30
55,2018,9151,  -,447,4582,4105,17
56,2018,35542,311,1431,17270,16214,316
57,2018,13259,441,79,10197,2482,60
58,2018,44231,3253,453,37468,2798,259
59,2018,16064,2918,145,10095,2660,246
60,2018,32853,12214,863,8175,10982,619
61,2018,41178,993,9495,25278,5010,402
62,2018,19932,308,213,16566,2840,5
63,2018,40926,191,1352,37904,1432,47
64,2018,25200,361,340,12527,11672,300
65,2018,33595,193,1154,27169,5008,71
66,2018,54265,304,25023,26109,1973,856
67,2018,30798,6,28249,1890,244,409
68,2018,26020,62,24690,756,204,308
69,2018,32461,5,31301,387,431,337
70,2018,43283,314,20721,16374,5044,830
71,2018,45770,153,44267,614,257,479
72,2018,20836,89,7047,1200,12043,457
73,2018,27055,8,25981,324,170,572
74,2018,19029,368,589,2090,15730,252
75,2018,23019,45,15252,805,6313,604
76,2018,12902,1407,231,1127,9475,662
77,2018,55430,6430,7592,9081,30615,1712
